GPE,Count,Latitude,Longitude,group_ID,Is_Valid,Category
Navato,1,38.1074198,-122.5697032,233,False,0
Sonoma,1,38.291859,-122.4580356,234,False,0
S.Iicramenlo,1,38.5815719,-121.4943996,235,False,0
St Louis',1,38.6270025,-90.1994042,236,True,1
Pgav,2,38.6273496,-90.1887947,237,False,0
45616 Layishthinkerw(L,1,38.8199214,-83.357567,238,False,0
T.Ste,1,38.867344,-77.01340499999999,239,False,0
Washington Dc,1,38.9071923,-77.0368707,240,True,1
Washington,1,38.9071923,-77.0368707,240,True,1
Delaware,1,38.9108325,-75.52766989999999,241,False,0
Turkey,1,38.963745,35.243322,242,False,0
Kansas,1,39.011902,-98.4842465,243,False,0
Lurn,1,39.1159478,-77.1820999,244,False,0
Jlor,1,39.3221779,-74.514657,245,False,0
Mpowerlnc,1,39.3796942,-77.41050729999999,246,False,0
Estadiomestallalh(8)_Cjw,1,39.47466,-0.3585882,247,False,0
Lvwalkenhorst,1,39.6806411,-119.704811,248,False,0
South Warmam­,1,39.7253287,-86.2052066,249,False,0
Old City,1,39.9500455,-75.1438117,250,True,1
Nj,1,40.0583238,-74.4056612,251,False,0
Lecce,1,40.3515155,18.1750161,252,False,0
Anchorage Beach,1,40.3673046,-73.9735742,253,True,1
Previ­,2,40.4297782,-111.8943629,254,False,0
Spain,7,40.46366700000001,-3.74922,255,True,1
Flemington,6,40.5123258,-74.85933179999999,256,False,0
Indiana,1,40.5512165,-85.60236429999999,257,True,1
Brooklyn,3,40.6781784,-73.9441579,258,False,0
K.Colhm,1,40.6962581,-73.3224896,259,False,0
New York,3,40.7127753,-74.0059728,260,True,1
Queens­,2,40.7282239,-73.7948516,261,False,0
Queens,9,40.7282239,-73.7948516,261,False,0
Manhattan,2,40.7830603,-73.9712488,262,True,1
Puglia,2,40.7928393,17.1011931,263,False,0
Montville,1,40.9148209,-74.383763,264,True,1
Bari,1,41.1171432,16.8718715,265,True,1
Pa,1,41.2033216,-77.1945247,266,True,1
Mt!Scamnto,1,41.408969,-75.66241219999999,267,False,0
Submer,1,41.480705,2.0239284,268,False,0
Davenport,1,41.5236437,-90.5776367,269,False,0
St Kilda,1,41.573812,-93.7085556,270,True,1
Ri,3,41.5800945,-71.4774291,271,False,0
Connecticut,1,41.6032207,-73.087749,272,False,0
Crescent City,1,41.7557501,-124.2025913,273,True,1
Ptav,1,41.7576994,-71.4320505,274,False,0
Providence,1,41.8239891,-71.4128343,275,False,0
I.Sa,1,41.8500231,-87.9424422,276,False,0
North Dighton,1,41.8644591,-71.13003379999999,277,True,1
Italy,8,41.87194,12.56738,278,True,1
Saint Minerva,1,41.8979888,12.4780226,279,True,1
Rome,4,41.9027835,12.4963655,280,False,0
Pl!Dto,1,41.9120866,3.1675342,281,False,0
Aghl,1,42.2785217,-88.9787934,282,False,0
Jamecca Plains,1,42.3132414,-71.1141118,283,False,0
Georgia,5,42.315407,43.35689199999999,284,False,0
Bu Incs,1,42.3504997,-71.1053991,285,False,0
Tower Hill,1,42.360568,-71.72748849999999,286,True,1
Htl'M'.9)Ma',1,42.4072107,-71.3824374,287,True,1
Malden,1,42.4250964,-71.066163,288,True,1
Malden Sw,11,42.4250964,-71.066163,288,False,0
Bools,1,42.4408344,-76.49535949999999,289,False,0
Salem,4,42.5197473,-70.8954626,290,False,0
Albany,2,42.6525793,-73.7562317,291,False,0
Westmere,1,42.6911891,-73.8687343,292,False,0
Againsl,1,42.7792672,-1.6412543,293,False,0
Meua,1,43.08350679999999,-76.0629519,294,False,0
Baynes,1,43.48788,-84.095123,295,False,0
Mghl,1,43.6283242,-79.6491391,296,False,0
Solu­,1,43.6504333,-88.1080162,297,False,0
Heywood-Portland,1,43.662849,-70.275536,298,False,0
Nice,1,43.7101728,7.261953200000001,299,False,0
Nic:Es,1,43.7101728,7.261953200000001,299,False,0
Florence,2,43.7695604,11.2558136,300,False,0
F'-Mee\Joom5Eytnotlf2'Fo+Hq)C58.Lsdu6Jmay Mi,1,44.3148443,-85.60236429999999,301,False,0
Heavyground,1,44.4007535,12.2043152,302,False,0
Collingwood,2,44.50076869999999,-80.2169047,303,False,0
Oak Island,2,44.5122805,-64.2949465,304,True,1
Bordeaux,1,44.837789,-0.57918,305,False,0
Ottawa,2,45.4215296,-75.69719309999999,306,False,0
Pineview,1,45.4239279,-75.605533,307,False,0
Venice,4,45.4408474,12.3155151,308,True,1
Piazza Duomo,1,45.4641941,9.189698,309,True,1
Portland,48,45.515232,-122.6783853,310,False,0
Lyon,5,45.764043,4.835659,311,False,0
Butte,1,46.0038232,-112.5347776,312,False,0
France,2,46.227638,2.213749,313,True,1
Soll(S,1,46.3598939,11.241014,314,True,1
St George Ban.K,1,46.5649601,21.7272883,315,False,0
Mals+L,1,46.6863988,10.5514095,316,False,0
Quebec,1,46.8130816,-71.20745959999999,317,False,0
Saint Martins,1,47.0407318,-122.8154094,318,False,0
Thal.,1,47.078596,15.3552061,319,True,1
Hungary,1,47.162494,19.503304,320,True,1
"Jlmmys E.,Broadway",1,47.6114238,-122.3205578,321,False,0
Bjue,1,47.80930009999999,9.2511273,322,False,0
Zaporizhzhia,3,47.8388,35.139567,323,False,0
Orleans,2,47.902964,1.909251,324,False,0
Kazakh,1,48.019573,66.923684,325,True,1
Marysville,1,48.0517637,-122.1770818,326,True,1
Tum,2,48.14900799999999,11.5674039,327,False,0
Vienna,2,48.2081743,16.3738189,328,True,1
Ukraine,6,48.379433,31.16558,329,False,0
West Victoria,2,48.433684,-123.38718,330,True,1
Haintz,1,48.69591519999999,10.054238,331,False,0
Paris,14,48.856614,2.3522219,332,True,1
Regensburg,1,49.0134297,12.1016236,333,False,0
Jersey,6,49.2137711,-2.1357662,334,True,1
Vancouver,1,49.2827291,-123.1207375,335,False,0
Rothenburg,1,49.3801834,10.1867388,336,False,0
Amecourt,1,49.380192,1.731205,337,False,0
Guernsey,1,49.4481982,-2.58949,338,False,0
Wurzburg,1,49.79130439999999,9.9533548,339,False,0
Winnipeg,1,49.8954221,-97.1385145,340,False,0
Coburg,2,50.2612094,10.962695,341,False,0
Pemberton,1,50.322028,-122.8050498,342,False,0
Princetown,1,50.5440793,-3.9904538,343,False,0
Merrivale,2,50.55762199999999,-4.049531,344,False,0
Dart­ Moor,1,50.5718857,-3.9206884,345,True,1
Hcale Ville,1,50.6045194,-1.3184195,346,False,0
Chesll Beach,2,50.6266703,-2.5605472,347,False,0
Chesll Beach.(2017,1,50.6266703,-2.5605472,347,False,0
Lille,1,50.62925,3.057256,348,True,1
Broadwater,1,50.8284525,-0.3745477,349,False,0
Germany,1,51.165691,10.451526,350,True,1
Penshurst,3,51.1727246,0.1824358,351,True,1
Wooiey,1,51.2097555,-2.6912839,352,False,0
Bath,1,51.3781018,-2.3596827,353,False,0
Hellekens,1,51.3791407,5.252299,354,False,0
Sofitt,1,51.4287737,-2.6334927,355,False,0
Blackheath,2,51.4658393,0.0090338,356,False,0
Ang Mortlake,1,51.4687363,-0.2627417,357,False,0
Mortlake,7,51.4687363,-0.2627417,357,False,0
London,4,51.5072178,-0.1275862,358,True,1
He.Ivy(Bj,1,51.5128603,-0.128045,359,False,0
Euston,1,51.5280991,-0.1332084,360,False,0
South Wales,4,51.6858341,-3.3821421,361,True,1
Olmln L400,1,51.8670254,5.8721896,362,True,1
Cork,1,51.8985143,-8.4756035,363,False,0
Ipswich,1,52.056736,1.14822,364,True,1
B.Barry 2,1,52.1277623,-8.2895635,365,True,1
Holland,2,52.132633,5.291265999999999,366,False,0
Goodc,1,52.2471366,21.0632676,367,False,0
Dennington,2,52.253926,1.3393709,368,False,0
Warwick,1,52.28231599999999,-1.584927,369,False,0
England,31,52.3555177,-1.1743197,370,True,1
Tassie,1,52.3637788,4.886993599999999,371,False,0
Edgbaston,3,52.4553184,-1.9040926,372,False,0
Birmingham,2,52.48624299999999,-1.890401,373,True,1
Peterborough,1,52.57031689999999,-0.2407996999999999,374,False,0
Derby,1,52.9225301,-1.4746186,375,True,1
"53,9",1,52.9995357,9.0026872,376,False,0
Newfoundland,1,53.1355091,-57.6604364,377,False,0
Jubilee Park,1,53.1557403,-0.2215658,378,True,1
Sheffield,1,53.38112899999999,-1.470085,379,False,0
Heywood,5,53.592628,-2.22565,380,False,0
B.Jenkinson,1,53.6924621,-1.6311384,381,True,1
Belarus,1,53.709807,27.953389,382,False,0
Manitoba,4,53.7608608,-98.8138763,383,False,0
Yorkshire,2,53.9590858,-1.0792403,384,False,0
York,1,53.9614205,-1.0739108,385,True,1
Kavanas,1,53.9897186,-7.3633319,386,False,0
M.Monaghan,1,54.2492434,-6.9683082,387,False,0
Whitehaven,1,54.549699,-3.589233,388,False,0
Coleraine,1,55.1325802,-6.6646102,389,False,0
Britain,3,55.378051,-3.435973,390,True,1
Moscow,1,55.755826,37.6173,391,True,1
Canada,3,56.130366,-106.346771,392,True,1
Scotland,1,56.49067119999999,-4.2026458,393,False,0
Ounkeld,1,56.5676532,-3.5862204,394,False,0
Dunkeld,1,56.5676532,-3.5862204,394,False,0
Glencoe,2,56.68255989999999,-5.1022713,395,False,0
Ilbnotmilil,1,57.675144,-2.812153,396,False,0
Kodiak,1,57.79000000000001,-152.4072222,397,True,1
St Kjkta,1,57.83481324783624,-8.56354406037558,398,False,0
Marwick,1,59.1045876,-3.3403778,399,False,0
Stockholm,1,59.32932349999999,18.0685808,400,False,0
Bergen,1,60.39126279999999,5.3220544,401,False,0
Norway,1,60.47202399999999,8.468945999999999,402,False,0
Russia,5,61.52401,105.318756,403,False,0
Denali,2,63.06916889999999,-151.0069842,404,False,0
Island,1,64.963051,-19.020835,405,False,0
