GPE,Count,Latitude,Longitude,group_ID,GPE_new
Crescent City,1,41.7557501,-124.2025913,273,Crescent
ptav,1,41.7576994,-71.4320505,274,Warwick
Providence,1,41.8239891,-71.4128343,275,Providence
i.sa,1,41.8500231,-87.9424422,276,
North Dighton,1,41.8644591,-71.13003379999999,277,
Italy,4,41.87194,12.56738,278,Roma
Italy,4,41.87194,12.56738,278,Roma
Saint Minerva,1,41.8979888,12.4780226,279,Roma
Rome,2,41.9027835,12.4963655,280,Roma
Rome,1,41.9027835,12.4963655,280,Roma
Rome,1,41.9027835,12.4963655,280,Roma
Pl!dto,1,41.9120866,3.1675342,281,
aghl,1,42.2785217,-88.9787934,282,Rockford
Jamecca Plains,1,42.3132414,-71.1141118,283,Boston
Georgia,1,42.315407,43.35689199999999,284,
Georgia,4,42.315407,43.35689199999999,284,
bu incs,1,42.3504997,-71.1053991,285,Boston
Tower Hill,1,42.360568,-71.72748849999999,286,
Htl'M'.9)Ma',1,42.4072107,-71.3824374,287,
Malden,1,42.4250964,-71.066163,288,
Malden SW,1,42.4250964,-71.066163,288,
Malden SW,10,42.4250964,-71.066163,288,
Bools,1,42.4408344,-76.49535949999999,289,Ithaca
Salem,4,42.5197473,-70.8954626,290,Salem
Albany,2,42.6525793,-73.7562317,291,Albany
Westmere,1,42.6911891,-73.8687343,292,
againsl,1,42.7792672,-1.6412543,293,Galar
Meua,1,43.08350679999999,-76.0629519,294,
Baynes,1,43.48788,-84.095123,295,
Mghl,1,43.6283242,-79.6491391,296,Mississauga
solu­,1,43.6504333,-88.1080162,297,
Heywood-Portland,1,43.662849,-70.275536,298,Portland
Nice,1,43.7101728,7.261953200000001,299,Nice
nic:es,1,43.7101728,7.261953200000001,299,Nice
Florence,1,43.7695604,11.2558136,300,Firenze
Florence,1,43.7695604,11.2558136,300,Firenze
f'-Mee\JOOm5eytnotlf2'fO+Hq)C58.lSdU6JMay mi,1,44.3148443,-85.60236429999999,301,
heavyground,1,44.4007535,12.2043152,302,Ravenna
Collingwood,1,44.50076869999999,-80.2169047,303,
Collingwood,1,44.50076869999999,-80.2169047,303,
Oak Island,2,44.5122805,-64.2949465,304,
Bordeaux,1,44.837789,-0.57918,305,Bordeaux
Ottawa,1,45.4215296,-75.69719309999999,306,(Old) Ottawa
Ottawa,1,45.4215296,-75.69719309999999,306,(Old) Ottawa
Pineview,1,45.4239279,-75.605533,307,Ottawa
Venice,1,45.4408474,12.3155151,308,Mestre
Venice,3,45.4408474,12.3155151,308,Mestre
Piazza Duomo,1,45.4641941,9.189698,309,Milano
Portland,8,45.515232,-122.6783853,310,Portland
