File Name,After removing articles based on URL condition,"After removing articles ending in ""...""",After removing articles not meeting minimum word requirement,After removing exceptions and blanks,After removing extra line breaks and multiple spaces,After removing typical junk texts
130_dailyvoice.com_new-jersey_fortlee.csv,909,882,429,911,909,882
131_dailyvoice.com_new-jersey_garfield.csv,746,716,326,748,746,717
132_dailyvoice.com_new-jersey_hackensack.csv,1089,1058,496,1091,1089,1058
133_dailyvoice.com_new-jersey_lyndhurst.csv,658,630,292,660,658,630
133_www.ocsentinel.com_.csv,1,1,1,1,1,1
134_dailyvoice.com_new-jersey_mahwah.csv,808,775,333,810,808,775
135_dailyvoice.com_new-jersey_northernhighlands.csv,791,760,343,793,791,760
135_www.philadelphiaweekly.com_.csv,1,1,0,1,1,1
136_dailyvoice.com_new-jersey_northernvalley.csv,804,771,341,806,804,771
137_dailyvoice.com_new-jersey_northpassaic.csv,990,962,450,992,990,962
138_dailyvoice.com_new-jersey_paramus.csv,711,682,310,713,711,682
139_dailyvoice.com_new-jersey_pascackvalley.csv,780,748,338,782,780,748
13_rennamedia.com_publications_peterstown-nj_.csv,2,1,1,2,2,1
140_dailyvoice.com_new-jersey_ridgefieldpark.csv,1027,995,468,1029,1027,995
141_dailyvoice.com_new-jersey_ridgewood.csv,858,822,360,860,858,824
141_www.princetonmagazine.com_.csv,185,185,142,186,185,185
142_dailyvoice.com_new-jersey_rutherford.csv,678,651,302,680,678,651
143_dailyvoice.com_new-jersey_saddlebrook.csv,936,905,424,938,936,905
144_dailyvoice.com_new-jersey_southpassaic_.csv,1072,1041,494,1074,1072,1042
144_www.radiowttm1680.com_index_files_Page447.htm.csv,1,1,0,1,1,1
145_dailyvoice.com_new-jersey_teaneck.csv,776,740,321,778,776,740
145_www.rahwayrising.com_.csv,1688,572,147,1692,1688,1688
146_dailyvoice.com_new-jersey_wyckoff.csv,851,815,370,853,851,816
147_communitynews.org_.csv,756,755,0,759,756,755
148_communitynews.org_bordentown-current_.csv,2,0,0,2,2,0
148_www.reminderusa.net_.csv,249,0,0,250,249,249
149_communitynews.org_ewing-observer_.csv,2,0,0,2,2,0
14_esecaucus.com_.csv,61,61,0,61,61,61
14_rennamedia.com_publications_scotch-plains-whats-happening-monthly_.csv,2,1,0,2,2,1
150_communitynews.org_hamilton-post_.csv,2,0,0,2,2,0
150_www.roi-nj.com_.csv,371,338,247,372,371,371
151_communitynews.org_hopewell-express_.csv,2,0,0,2,2,0
151_www.scoopusanewspaper.com_.csv,0,0,0,0,0,0
152_communitynews.org_lawrence-gazette_.csv,2,0,0,2,2,0
152_www.setonian.com.csv,1,0,0,1,1,1
153_communitynews.org_princeton-echo_.csv,2,0,0,2,2,0
154_communitynews.org_robbinsville-advance_.csv,2,0,0,2,2,0
154_www.snjtoday.com_.csv,0,0,0,0,0,0
155_communitynews.org_trenton-downtowner_.csv,2,0,0,2,2,0
155_www.spartaindependent.com_.csv,225,208,125,225,225,225
156_communitynews.org_west-windsor-news_.csv,2,0,0,2,2,0
156_www.starandwave.com.csv,1,1,1,1,1,1
157_thepressgroup.net_category_northern-valley-press_.csv,39,39,0,39,39,39
158_thepressgroup.net_category_pascack-press_.csv,34,34,0,34,34,34
158_www.stocktonargo.com.csv,3,3,1,3,3,3
159_thesunpapers.com_berlin-sun_.csv,2,0,0,2,2,1
159_www.tcnjsignal.net.csv,374,374,366,374,374,374
15_glenrocknews.today_.csv,0,0,0,0,0,0
15_rennamedia.com_publications_spirit-of-union_.csv,2,1,1,2,2,1
160_thesunpapers.com_mullica-hill-sun_.csv,2,0,0,2,2,1
160_www.the-gazette-newspaper.com_.csv,1,1,1,1,1,1
161_thesunpapers.com_palmyra-sun_.csv,2,0,0,2,2,1
161_www.thebrasilians.com.csv,15,15,0,18,15,15
162_thesunpapers.com_shamong-sun_.csv,2,0,0,2,2,1
162_www.thecore.fm_public_index.php.csv,1,1,1,1,1,1
163_thesunpapers.com_sicklerville-sun_.csv,2,0,0,2,2,1
164_thesunpapers.com_tabernacle-sun_.csv,2,0,0,2,2,1
165_thesunpapers.com_voorhees-sun_.csv,2,0,0,2,2,1
166_thesunpapers.com_washington-twp-sun_.csv,2,0,0,2,2,1
167_www.theobserver.com_.csv,223,223,66,224,223,223
168_www.thepauwwow.org_.csv,205,205,0,205,205,205
16_rennamedia.com_publications_summit-times_.csv,2,1,0,2,2,1
170_www.theridernews.com.csv,506,506,478,510,506,506
172_www.thewhitonline.com.csv,0,0,0,0,0,0
173_www.townshipjournal.com_.csv,235,219,143,235,235,235
174_www.towntopics.com.csv,320,320,290,323,320,320
177_www.tvasiausa.com.csv,11,11,0,11,11,11
179_www.twp.woodbridge.nj.us_244_TV-35-36.csv,0,0,0,0,0,0
17_gujaratdarpan.com.csv,23,23,23,25,23,23
17_rennamedia.com_publications_the-chathams_.csv,2,2,0,2,2,2
180_www.tygodnikplus.com.csv,1,1,1,1,1,1
181_www.ukrweekly.com.csv,1,1,0,1,1,1
182_www.universitypressclub.com_the-ink_.csv,8,8,0,8,8,8
183_www.urbanagendamagazine.com_.csv,140,140,103,142,140,140
184_www.uschinapress.com.csv,0,0,0,0,0,0
186_www.facebook.com_BREAKINGNEWSOFTRENTON.csv,155,155,0,155,155,155
186_www.wbcbnews.com_.csv,475,475,0,483,475,475
187_www.facebook.com_JerseyShoreHurricaneNews.csv,120,120,0,122,120,120
188_www.jerseyshoreonline.com_.csv,516,508,362,536,516,515
188_www.westmilfordmessenger.com_.csv,224,207,141,224,224,224
189_www.jerseyshoreonline.com_thehowelltimes_.csv,2,0,0,2,2,1
189_www.wfmz.com_.csv,0,0,0,0,0,0
18_gujarattimesusa.com.csv,10,10,0,11,10,10
18_rennamedia.com_publications_warren-monthly_.csv,2,1,0,2,2,1
190_www.jerseyshoreonline.com_thejacksontimes_.csv,2,0,0,2,2,1
191_www.jerseyshoreonline.com_themanchestertimes_.csv,2,1,0,2,2,1
192_www.mainlinemedianews.com_mainlinesuburbanlife_.csv,11,10,7,11,11,11
193_www.mainlinemedianews.com_mainlinetimes_.csv,11,10,7,11,11,11
195_www.mycentraljersey.com_.csv,3503,3501,3006,3507,3503,3503
196_www.mypaperonline.com_category_black-river-news.csv,1,0,0,1,1,0
196_www.wsou.net_.csv,59,59,31,66,59,59
197_www.mypaperonline.com_category_caldwell-news.csv,1,0,0,1,1,0
198_www.mypaperonline.com_category_east-hanoverflorham-park-news.csv,0,0,0,0,0,0
198_www.xpn.org_.csv,3,3,0,3,3,3
199_www.mypaperonline.com_category_hanover-news.csv,0,0,0,0,0,0
19_rennamedia.com_publications_watchung-post_.csv,2,1,0,2,2,1
1_987thecoast.com_.csv,593,593,1,597,593,593
1_rennamedia.com_publications_clark-monthly_.csv,2,1,1,2,2,1
200_1057thehawk.com_.csv,3211,2990,1441,3332,3211,3201
200_www.mypaperonline.com_category_hometown-lincoln-park-pequuanock-pompton-plains.csv,1,1,0,1,1,1
201_24horasnewspaper.com_.csv,0,0,0,0,0,0
201_www.mypaperonline.com_category_hometown-wayne.csv,0,0,0,0,0,0
202_6abc.com_.csv,6684,6680,3020,6721,6684,6684
202_www.mypaperonline.com_category_livingston-news.csv,1,0,0,1,1,0
203_920thejersey.com_.csv,278,266,102,315,278,274
203_www.mypaperonline.com_category_millburn-news.csv,1,0,0,1,1,0
204_943thepoint.com_.csv,3402,3294,1359,3512,3402,3387
204_www.mypaperonline.com_category_pompton-laks-bloomingdale-riverdale-butler-kinnelon-smokerise.csv,1,1,0,1,1,1
205_abc7ny.com_new-jersey_.csv,4,4,0,4,4,4
206_acprimetime.com_atlantic-city-primetime-news_.csv,2,2,0,2,2,2
206_www.mypaperonline.com_category_the-mendham-news.csv,1,0,0,1,1,0
207_am970theanswer.com_.csv,324,324,135,325,324,324
207_www.mypaperonline.com_category_the-morristown-news.csv,1,0,0,1,1,0
208_americanfarmpublications.com_the-new-jersey-farmer_.csv,2,0,0,2,2,1
208_www.mypaperonline.com_category_the-mt-olive-news.csv,0,0,0,0,0,0
209_americanonewspaper.com_.csv,68,68,0,71,68,68
209_www.mypaperonline.com_category_the-randolph-news.csv,1,0,0,1,1,0
210_balitangamerica.tv_.csv,0,0,0,0,0,0
210_www.mypaperonline.com_category_the-roxbury-news.csv,1,0,0,1,1,0
211_baristanet.com.csv,676,575,325,678,676,676
211_www.mypaperonline.com_category_west-orange-news.csv,1,0,0,1,1,0
212_blogfinger.net.csv,0,0,0,0,0,0
212_www.newjerseyhills.com_observer-tribune_.csv,275,275,260,276,275,275
213_brickcitylive.com.csv,0,0,0,0,0,0
214_brigantinenow.com_.csv,179,20,11,180,179,179
216_cccvoice.wordpress.com_.csv,122,122,116,125,122,122
219_countywatchers.wordpress.com_.csv,53,53,26,53,53,53
21_hometownetv.org_.csv,1,1,0,1,1,1
220_cranfordradio.wordpress.com.csv,219,219,0,221,219,219
221_downbeachbuzz.com_.csv,48,48,1,50,48,48
222_eccobserverdotcom.wordpress.com_.csv,36,36,17,39,36,36
223_essexnewsdaily.com_.csv,357,357,256,377,357,357
224_fduequinox.wordpress.com_.csv,403,398,268,405,403,403
225_forward.com_.csv,563,563,488,723,563,563
226_gothictimes.net_.csv,2,2,1,2,2,2
228_hellenicnews.com_.csv,356,290,218,378,356,356
229_hudsoncountyview.com_.csv,389,389,335,389,389,389
230_impactolatin.com_.csv,0,0,0,0,0,0
231_latribunanj.com_.csv,5,5,2,5,5,5
232_literock969.com_.csv,2663,2516,921,2767,2663,2620
232_www.northjersey.com_.csv,4766,4763,3802,4770,4766,4766
233_www.northjersey.com_?fbclid=IwAR3MTLRt4BFrGFRnLoOh4To_lTomR1s4fpjql8CMiCYf9KcT3c1VYNqerLs.csv,1,1,0,1,1,1
234_www.pressofatlanticcity.com_currents_gazettes_downbeach_.csv,61,25,16,61,61,25
235_medium.com_the-mantua-sun.csv,22,22,11,22,22,22
235_www.pressofatlanticcity.com_currents_gazettes_egg_harbor_township_.csv,105,38,22,122,105,38
236_medium.com_the-williamstown-sun.csv,21,21,15,21,21,21
236_www.pressofatlanticcity.com_currents_gazettes_galloway_township_.csv,151,56,22,151,151,56
237_montclairdispatch.com.csv,130,130,116,157,130,130
237_www.pressofatlanticcity.com_currents_gazettes_hamilton_township_.csv,86,38,16,86,86,38
238_www.pressofatlanticcity.com_currents_gazettes_mainland_.csv,153,48,34,153,153,48
239_nepszava.us.csv,2,2,1,2,2,2
239_www.pressofatlanticcity.com_currents_gazettes_middle_township_.csv,112,39,26,112,112,39
240_newjerseybuzz.com_.csv,74,67,7,74,74,74
240_www.pressofatlanticcity.com_currents_gazettes_pleasantville_absecon_.csv,61,17,6,61,61,17
241_newjerseyglobe.com_.csv,1776,1664,1128,1781,1776,1775
242_newstalk990.com_.csv,99,96,39,100,99,99
242_www.pressofatlanticcity.com_currents_gazettes_upper_township_.csv,42,14,7,42,42,14
243_newtownpress.com_.csv,452,452,304,456,452,452
243_www.pressofatlanticcity.com_.csv,0,0,0,0,0,0
244_nj1015.com_category_new-jersey-news_.csv,5,5,0,5,5,5
244_www.tapinto.net_towns_barnegat-slash-waretown_.csv,535,19,2,535,535,46
245_njbmagazine.com_.csv,290,289,232,292,290,290
245_www.tapinto.net_towns_basking-ridge.csv,299,19,0,299,299,42
246_njjewishnews.timesofisrael.com_.csv,1756,1756,594,1765,1756,1756
246_www.tapinto.net_towns_bayonne_.csv,274,21,2,274,274,36
247_occvikingnews.org_.csv,1,1,0,1,1,1
247_www.tapinto.net_towns_belmar-slash-lake-como_.csv,337,37,0,337,337,93
248_philadelphia.cbslocal.com_.csv,1760,1759,539,1761,1760,1760
248_www.tapinto.net_towns_berkeley-heights_.csv,575,33,1,575,575,59
249_phl17.com_.csv,595,595,155,600,595,595
249_www.tapinto.net_towns_bloomfield_.csv,669,21,1,669,669,40
24_justcliqit.com.csv,27,27,0,30,27,27
250_pocono967.com_.csv,28,28,5,32,28,28
250_www.tapinto.net_towns_bridgewater-slash-raritan_.csv,285,25,1,285,285,39
251_princetoninfo.com_.csv,648,648,1,648,648,648
251_www.tapinto.net_towns_camden_.csv,215,16,0,215,215,27
252_savejersey.com_.csv,498,498,237,501,498,498
252_www.tapinto.net_towns_chatham_.csv,334,24,0,334,334,48
253_www.tapinto.net_towns_clark_.csv,355,23,0,355,355,52
254_sojo1049.com_.csv,2800,2643,862,2928,2800,2745
254_www.tapinto.net_towns_cranford_.csv,269,20,0,269,269,47
255_southjerseyobserver.com_.csv,32,32,1,38,32,32
255_www.tapinto.net_towns_denville_.csv,347,19,0,347,347,35
256_southphillyreview.com_.csv,494,483,358,498,494,494
256_www.tapinto.net_towns_east-brunswick_.csv,381,18,0,381,381,37
257_starnewsgroup.com_.csv,67,67,15,77,67,67
257_www.tapinto.net_towns_east-hanover-slash-florham-park_.csv,271,25,0,271,271,40
258_statebroadcastnews.com_category_garden_.csv,7,7,0,7,7,7
258_www.tapinto.net_towns_east-orange-slash-orange_.csv,189,15,0,189,189,27
259_thehunterdoncountynews.com_.csv,0,0,0,0,0,0
259_www.tapinto.net_towns_edison_.csv,295,21,0,295,295,30
260_www.tapinto.net_towns_elizabeth_.csv,258,20,0,258,258,37
261_thenubiannews.com_.csv,0,0,0,0,0,0
261_www.tapinto.net_towns_fair-lawn-slash-glen-rock_.csv,313,21,0,313,313,48
262_theobservernewark.com_news.csv,0,0,0,0,0,0
262_www.tapinto.net_towns_flemington-slash-raritan_.csv,252,20,0,252,252,43
263_thephilanews.com_.csv,0,0,0,0,0,0
263_www.tapinto.net_towns_franklin-township_.csv,288,16,0,288,288,34
264_thepositivecommunity.com_.csv,513,512,305,519,513,513
264_www.tapinto.net_towns_hackensack_.csv,205,14,0,205,205,35
265_www.tapinto.net_towns_hamilton-slash-robbinsville_.csv,233,15,0,234,233,30
266_wctcam.com_.csv,0,0,0,0,0,0
266_www.tapinto.net_towns_hasbrouck-heights-slash-wood-ridge-slash-teterboro_.csv,363,27,0,376,363,46
267_www.tapinto.net_towns_hawthorne_.csv,294,19,0,294,294,43
268_whyy.org_news_.csv,4,3,0,4,4,3
268_www.tapinto.net_towns_hillsborough_.csv,306,21,0,307,306,40
269_wmbctv.com_.csv,32,28,5,33,32,28
269_www.tapinto.net_towns_hillside_.csv,131,10,0,131,131,15
26_mercerme.com.csv,1,1,0,1,1,1
270_wobm.com_.csv,3555,3402,1385,3644,3555,3544
270_www.tapinto.net_towns_holmdel-and-colts-neck_.csv,528,30,0,528,528,72
271_wpgtalkradio.com_.csv,2938,2881,1393,3094,2938,2920
271_www.tapinto.net_towns_linden_.csv,211,14,0,211,211,24
272_wpst.com_.csv,2653,2557,1007,2747,2653,2647
272_www.tapinto.net_towns_livingston_.csv,351,26,0,351,351,53
273_wputimes.wordpress.com_.csv,166,166,100,168,166,166
273_www.tapinto.net_towns_madison_.csv,585,33,0,585,585,58
274_wsus1023.iheart.com_.csv,308,306,141,310,308,308
274_www.tapinto.net_towns_middletown_.csv,510,31,0,511,510,69
275_wurdradio.com_.csv,58,58,2,68,58,58
275_www.tapinto.net_towns_millburn-slash-short-hills_.csv,384,20,0,384,384,37
276_www.951wayv.com_.csv,313,313,57,317,313,313
276_www.tapinto.net_towns_milltown-slash-spotswood_.csv,287,16,0,287,287,30
277_www.am1660.com_.csv,0,0,0,0,0,0
277_www.tapinto.net_towns_montclair_.csv,329,20,0,329,329,36
278_www.bizjournals.com_philadelphia_.csv,0,0,0,0,0,0
278_www.tapinto.net_towns_montville_.csv,324,27,0,324,324,48
279_www.camdencc.edu_student_life_campus-press_.csv,1,1,0,1,1,1
279_www.tapinto.net_towns_morristown_.csv,623,36,1,623,623,67
280_www.civicstory.org.csv,35,35,5,35,35,35
280_www.tapinto.net_towns_mountainside_.csv,299,20,0,299,299,43
281_www.classicoldieswmid.com_.csv,320,319,60,324,320,320
281_www.tapinto.net_towns_new-brunswick_.csv,414,19,0,414,414,34
282_www.courierpostonline.com_.csv,2375,2375,1937,2378,2375,2375
282_www.tapinto.net_towns_new-providence_.csv,405,22,0,405,405,45
283_www.divyabhaskar.co.in.csv,18,18,2,19,18,18
283_www.tapinto.net_towns_newark_.csv,262,14,0,262,262,27
284_www.ebcmusic.com_.csv,4,4,0,4,4,4
284_www.tapinto.net_towns_newton_.csv,276,17,0,276,276,40
285_www.gloucestercitynews.net_clearysnotebook_gloucester_city_news_.csv,2,2,2,2,2,2
285_www.tapinto.net_towns_north-plainfield-slash-green-brook_.csv,1,0,0,1,1,1
286_www.goleader.com_.csv,115,111,27,120,115,115
286_www.tapinto.net_towns_nutley_.csv,900,36,0,900,900,69
287_www.gujaratsamachar.com.csv,0,0,0,0,0,0
287_www.tapinto.net_towns_paramus_.csv,205,12,0,205,205,33
288_www.indiaabroad.com.csv,518,518,2,518,518,518
288_www.tapinto.net_towns_parsippany_.csv,359,23,0,359,359,35
289_www.insidernj.com_.csv,1,1,0,1,1,1
289_www.tapinto.net_towns_passaic-valley_.csv,445,22,0,445,445,41
28_mycommunitysource.com.csv,364,364,143,377,364,364
290_www.irishcentral.com_.csv,1350,1350,1288,1526,1350,1350
290_www.tapinto.net_towns_paterson_.csv,290,34,2,290,290,50
291_www.irishecho.com.csv,315,307,211,316,315,315
291_www.tapinto.net_towns_piscataway_.csv,440,28,0,440,440,53
292_www.jewishlinknj.com_.csv,451,451,301,452,451,451
292_www.tapinto.net_towns_plainfield_.csv,416,22,0,416,416,42
293_www.law.com_thelegalintelligencer_.csv,1149,1149,121,1150,1149,1149
293_www.tapinto.net_towns_randolph_.csv,274,26,0,274,274,58
294_www.mattersmagazine.com_stories.csv,5,5,0,5,5,5
294_www.tapinto.net_towns_red-bank_.csv,278,14,0,279,278,30
295_www.tapinto.net_towns_roselle-roselle-park_.csv,299,20,0,299,299,46
296_www.nbcphiladelphia.com_.csv,3683,3362,1912,3691,3683,3683
296_www.tapinto.net_towns_roxbury_.csv,312,29,1,312,312,54
297_www.njpen.com.csv,485,478,284,486,485,478
297_www.tapinto.net_towns_scotch-plains-slash-fanwood_.csv,476,16,0,476,476,41
298_www.njtvonline.org_news_.csv,2,2,0,2,2,2
298_www.tapinto.net_towns_soma_.csv,399,20,0,399,399,37
299_www.ntd.tv.csv,1,1,1,1,1,1
299_www.tapinto.net_towns_somerset-hills_.csv,223,19,0,223,223,40
29_newjersey.news12.com_.csv,1382,1382,479,1383,1382,1382
2_rennamedia.com_publications_cranford-monthly_.csv,2,1,1,2,2,1
300_www.pennjerseyradio.org_.csv,0,0,0,0,0,0
300_www.tapinto.net_towns_somerville_.csv,294,21,0,296,294,39
301_www.phillyvoice.com_.csv,1658,1658,1329,1661,1658,1658
302_www.tapinto.net_towns_south-plainfield_.csv,444,40,0,444,444,76
303_www.posteaglenewspaper.com_.csv,300,300,169,303,300,300
303_www.tapinto.net_towns_sparta_.csv,309,15,0,309,309,40
304_www.princetontv.org_Home.html.csv,0,0,0,0,0,0
304_www.tapinto.net_towns_springfield_.csv,293,14,0,293,293,38
305_www.rcan.org_the-catholic-advocate.csv,2,2,1,2,2,2
305_www.tapinto.net_towns_stafford-slash-lbi_.csv,275,14,0,275,275,39
306_www.recordonline.com_.csv,196,196,162,196,196,196
306_www.tapinto.net_towns_summit_.csv,401,35,0,402,401,65
307_www.shorelocalnews.com_.csv,348,347,210,351,348,348
307_www.tapinto.net_towns_union_.csv,466,25,0,466,466,51
308_www.southjerseybiz.net_.csv,146,145,109,147,146,146
308_www.tapinto.net_towns_verona-slash-cedar-grove_.csv,340,17,0,340,340,42
309_www.tapinto.net_towns_warren_.csv,627,28,0,630,627,60
309_www.telemundo47.com_.csv,9,7,1,9,9,9
310_www.tapinto.net_towns_west-essex_.csv,287,19,0,287,287,42
310_www.telemundo62.com_.csv,1,1,0,1,1,1
311_www.tapinto.net_towns_west-orange_.csv,335,26,0,335,335,39
311_www.thedrewacorn.com_.csv,47,47,34,47,47,47
312_www.tapinto.net_towns_westfield_.csv,499,42,0,499,499,69
312_www.theepochtimes.com_.csv,3361,2958,2542,3362,3361,3361
313_www.thehammontonnews.com_.csv,1,1,0,1,1,1
313_www.univision.com_local_philadelphia-wuvp.csv,5,5,0,5,5,5
314_www.themontynews.org_.csv,367,360,248,367,367,367
315_www.theyeshivaworld.com_.csv,763,734,473,765,763,762
315_www.wnyc.org_.csv,979,974,8,987,979,979
316_www.tristatevoice.com_.csv,66,53,43,71,66,66
316_www.wnyc.org_series_new-jersey-public-radio_.csv,1,1,0,1,1,1
317_www.visionsnewspaper.com_.csv,173,166,1,173,173,173
319_www.wehavegospel.com_.csv,3,3,0,3,3,3
31_njrevolutionradio.com_.csv,319,318,114,321,319,318
321_www.wghtradio.com_.csv,0,0,0,0,0,0
322_www.wliw.org_.csv,265,262,20,272,265,265
323_www.wlvt.org_.csv,56,56,6,67,56,56
324_www.wnet.org_.csv,0,0,0,0,0,0
325_www.worldjournal.com_.csv,35,30,0,35,35,35
326_www.wqxr.org_.csv,208,208,14,208,208,208
327_www.wsj.com_.csv,0,0,0,0,0,0
328_www.wvlt.com_.csv,193,191,6,218,193,193
329_www.wwfm.org_.csv,321,321,124,322,321,321
330_www1.nyc.gov_site_media_radio_radio-home.page.csv,1,1,1,1,1,1
331_mybeachradio.com_.csv,2155,2087,1178,2259,2155,2149
36_pinebarrenstribune.com_.csv,101,101,97,101,101,101
37_planettrenton.org_.csv,0,0,0,0,0,0
3_rennamedia.com_publications_fanwood-post_.csv,2,1,0,2,2,1
40_radio.rutgers.edu_.csv,82,82,49,83,82,82
41_radiozindagi.com_newyork_.csv,9,9,0,10,9,9
43_somore.org_.csv,16,16,2,18,16,16
46_tapon1070.com_.csv,0,0,0,0,0,0
47_thecoaster.net_wordpress_.csv,150,150,97,150,150,150
4_africansuntimes.com_.csv,0,0,0,0,0,0
4_rennamedia.com_publications_garwood-times_.csv,2,1,0,2,2,1
50_thelinknews.net.csv,2,2,0,2,2,2
51_thenjsentinel.com_.csv,525,525,362,527,525,525
52_thepakistaninewspaper.com_.csv,3,3,1,3,3,3
53_theridgewoodblog.net_.csv,0,0,0,0,0,0
54_theshore1063.com_.csv,41,41,0,42,41,41
55_thestute.com_.csv,1,1,0,2,1,1
57_torchbcc.com_.csv,0,0,0,0,0,0
58_unionnewsdaily.com.csv,1,1,1,1,1,1
59_wbjb.org_home.php_.csv,14,14,4,15,14,14
5_rennamedia.com_publications_green-brook-gazette_.csv,2,1,0,2,2,1
60_wcvhfm.weebly.com_news.html.csv,0,0,0,0,0,0
62_wjlp3.com_.csv,0,0,0,0,0,0
63_wmizradio.com_index1.html.csv,1,1,0,1,1,1
64_wnjc.duxpond.com_.csv,1,1,0,1,1,1
65_wondradio.com_.csv,125,124,44,128,125,125
66_wtsr.org_.csv,13,13,1,15,13,13
67_www.1077thebronc.com_.csv,9,9,3,12,9,9
69_www.afrophilly.com_.csv,1,1,0,1,1,1
6_rennamedia.com_publications_life-in-kenilworth_.csv,2,1,1,2,2,1
70_www.ahherald.com_.csv,152,152,112,156,152,152
73_www.americaoggi.info.csv,1,1,0,1,1,1
74_www.anointedonline.net_.csv,9,8,1,13,9,9
76_patch.com_new-jersey_asbury-park.csv,388,378,165,392,388,384
76_www.banglapatrikausa.com_.csv,0,0,0,0,0,0
77_patch.com_new-jersey_edison-metuchen.csv,367,360,141,375,367,363
77_www.bluejersey.com_.csv,0,0,0,0,0,0
78_patch.com_new-jersey_fairlawn-saddlebrook.csv,434,424,145,437,434,429
78_www.brazilianpress.com.csv,0,0,0,0,0,0
79_patch.com_new-jersey_flemington.csv,373,362,159,381,373,367
7_rennamedia.com_publications_life-in-linden_.csv,2,1,1,2,2,1
80_patch.com_new-jersey_haddon.csv,366,358,166,368,366,363
81_patch.com_new-jersey_holmdel-hazlet.csv,425,415,219,435,425,417
81_www.burlingtoncountytimes.com_.csv,0,0,0,0,0,0
82_patch.com_new-jersey_hopatcong-sparta.csv,393,385,164,408,393,388
83_patch.com_new-jersey_hopewell-pennington.csv,223,213,53,227,223,219
84_patch.com_new-jersey_jersey-city.csv,414,404,170,418,414,408
85_patch.com_new-jersey_lakewood-nj.csv,266,244,87,274,266,261
85_www.dailyprincetonian.com.csv,182,182,117,182,182,182
86_patch.com_new-jersey_littlesilver.csv,239,231,89,245,239,236
87_patch.com_new-jersey_longbranch.csv,368,362,176,375,368,364
88_patch.com_new-jersey_longvalley.csv,515,490,192,522,515,496
