"Source of information [ENTER MULTIPLE CODES IF APPLICABLE] 1=Editor&Publisher, 2=Cision, 3=LION, 4=INN, 5=CCM, 6=BIA/Kelsey, 10=Manual search, 11=Lib of Congress (DON'T USE), 12=OnlineNewspaperDirectory, 13=MichelesList, 14=Mondotimes, 15=ABYZ, 16=NAM, 17=NatlNewspaperAssoc, 18=Other, 19 = NJPA",Name of outlet or organization,"Coverage area (9=not applicable, e.g. 5 or more counties",Munis covered (clean for Zev) 9=coverage area not clear or too diffuse,"Municipality ""character"" code; 6 = even mix of characteristics; 9 = n/a (from Nj State Police 2016 Uniform Crime Report: https://www.njsp.org/ucr/2016/index.shtml, section 7)",Outlet/org URL (homepage) (9=no website),"FREQUENCY 1=daily, 2=weekly, 3=biweekly, 4=monthly, 5=bimonthly, 6=regularly (but not daily), 7=irregularly, 8 annually","Original medium 1=Newspaper 2=Television 3=Radio 4=Online, 5=Magazine",Outlet/org owner (9=Don't know or N/A),"Outlet's language of publication 1=English, 2=Spanish, 3=Arabic, 4=Hindi or other language of India, 5=Mandarin or Cantonese, 6=Other, 7=Multilingual, 8=Tagalog or other Filipino language 9=Don't know/NA, 10=Korean, 11=Polish, 12=Ukranian","Does this outlet serve an ethnic community? 1=yes, 2=no","Is this outlet public media? (1=yes, 2=no)","(for Philly and NYC outlets) Does this outlet serve NJ? (1=yes, 2=no, 9=N/A)",Notes,Other potential variables: staff size,other variable: is the outlet hyperlocal? Y/N
"5, 15, 19, 2, 1",Beach Haven Times,"Barnegat (Rural), Barnegat Light (Suburban), Beach Haven (Suburban), Long Beach Township (Suburban), Manahawken (Rural), Surf City (Suburban), Ship Bottom (Suburban) and Harvey Cedars (Suburban)","Barnegat, Barnegat Light, Beach Haven, Long Beach Township, Manahawken, Surf City, Ship Bottom, Harvey Cedars",Suburban,9,2,1,Gannett,1,2,9,9,,,
"16, 1, 2","Catholic Beacon, The",Paterson,Paterson,Urban,9,2,1,Paterson Diocese,1,2,2,9,but see https://rcdop.org/the-beacon,,
"5, 1, 2","Beacon, The",Wayne (Suburban),Wayne,Suburban,http://www.wpubeacon.com,2,1,William Patterson University,1,2,2,9,,,
"5, 15, 19, 2",Belleville Post,Belleville,Belleville,Urban,9,4,1,"Worrall Community Newspapers, Inc.",1,2,9,9,Contacted Worrall and this is an e-paper that publishes monthly and has only a defunct FB page as a web presence; https://essexnewsdaily.com/,,
"5, 15, 19, 1, 2",Belleville Times,Belleville,Belleville,Urban,9,2,1,Gannett,1,2,2,9,"http://bellevilletimes.newspaperdirect.com/epaper/viewer.aspx , Northjersey.com redirect and office number 1/27/2020",,
"18, 2",Bergenfield Daily Voice,"Bergenfield (Urban), Dumont (Urban), & New Milford (Urban)","Bergenfield, Dumont, New Milford",Urban,https://dailyvoice.com/new-jersey/bergenfield,1,4,Cantata Media (Jerry DeMarco),1,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
2,Berkeley Heights Community News,Berkeley Heights,Berkeley Heights,Suburban,https://rennamedia.com/publications/berkeley-heights-community-news/,4,1,Renna Media,1,2,2,9,,,
"15, 2, 12",Berkeley Times,Beachwood (Suburban) and Berekely Township (Suburban),"Beachwood, Berekely Township",Suburban,9,2,1,"Micromedia Publications, Inc.",1,2,9,9,online presence at https://www.jerseyshoreonline.com/category/berkeley/,,
1,"Berlin Sun, The",Berlin,Berlin,Suburban,https://thesunpapers.com/berlin-sun/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"17, 5, 15, 19, 2, 1, 12","Bernardsville News, The","Bernardsville (Suburban), Bernards Township (Suburban), Bedminster Township (Rural), Far Hills (Suburban), Peapack-Gladstone (Suburban)","Bernardsville, Bernards Township, Bedminster Township, Far Hills, Peapack-Gladstone",Suburban,http://www.newjerseyhills.com/bernardsville_news/,6,1,New Jersey Hills Media Group,1,2,2,9,,,
15,Beverly Bee,"Beverly (Urban), Delanco (Urban), Edgewater Park (Urban), City of Burlington (Urban)","Beverly, Delanco, Edgewater Park, Burlington City",Urban,9,4,5,Independently owned,1,2,2,9,see http://www.beverlybee.com/,,
"2, 1",Black River News,"Chester (Rural), Long Valley (Suburban) , Peapack-Gladstone (Suburban)","Chester, Long Valley, Peapack-Gladstone",Suburban,https://www.mypaperonline.com/category/black-river-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,https://www.mypaperonline.com/category/digital-editions/black-river-digital-edition,,
5,Blogfinger,Ocean Grove (Suburban),Ocean Grove,Suburban,https://blogfinger.net,1,4,Independently owned,1,2,2,9,,,
2,Blue Jersey,9,9,9,http://www.bluejersey.com/,6,4,Independently owned,1,2,2,9,,,
"18, 1, 2",Bordentown Current,Bordentown,Bordentown,Suburban,https://communitynews.org/bordentown-current/,4,1,Independently owned,1,2,9,9,,,
15,"Branchburg News, The",Branchburg,Branchburg,Suburban,9,5,1,Town Media Community Communications,1,2,2,9,see http://readingtonnews.com/,,
"16, 2","Brasilians, The",9,9,9,http://www.thebrasilians.com,4,1,Independently owned,"7 (1, 6 (Portuguese))",1,2,1,,,
16,Brazilian Press,Newark,Newark,Urban,http://www.brazilianpress.com,2,1,Independently owned (Silvio de Souza),"7 (1, 6 (Portuguese))",1,2,9,,,
"2, 16",Brazilian Voice,9,9,9,http://www.brazilianvoice.com/category/bv_noticias/local,4,4,Independently owned,6 (Portugese),1,2,9,,,
"5, 13, 2",Brick City Live,Newark,Newark,Urban,https://brickcitylive.com,7,4,Independently owned,1,2,2,9,Voted best independent blog by New Jersey Society of Professional Journalists (2017)   http://brickcitylive.com/advertising/,,
"5, 13, 2",Brick Shorebeat,Brick Township,Brick Township,Suburban,http://brick.shorebeat.com,1,4,Indepedently owned,1,2,2,9,,,
"15, 2, 12","Brick Times, The",Brick,Brick,Suburban,9,2,1,"Micromedia Publications, Inc.",1,2,9,9,see https://issuu.com/micromediapubs/stacks,,
"18, 9",Brigantine Now,Brigantine,Brigantine,Suburban,https://brigantinenow.com/,6,4,Downbeach Digital News Network,1,2,2,9,also owns ACprimetime.com and Downbeach Buzz; Email sent 1/27/2020,,
2,"Brigantine Times, The",Brigantine,Brigantine,Suburban,https://www.brigantinetimes.com/,2,1,Indepedently owned,1,2,2,9,,,
"17, 5, 1, 15, 19, 2, 12",Burlington County Times,"Bordentown (Suburban) , Moorestown (Suburban), Burlington (Urban), Cinnaminson (Urban) , Mount Laurel (Suburban), Pemberton (Suburban), Riverside (Urban)  and Maple Shade (Suburban)","Bordentown, Moorestown, Burlington, Cinnaminson, Mount Laurel, Pemberton, Riverside, Maple Shade",Suburban,http://www.burlingtoncountytimes.com/,1,1,GateHouse Media,1,2,2,9,,,
"18, 1","Burlington Twp Sun, The",Burlington,Burlington,Suburban,https://burlingtontownshipsun.com/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
2,Caldwell News/Caldwell Life,Caldwell,Caldwell,Urban,https://www.mypaperonline.com/category/caldwell-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
"5, 15, 2, 1",Campus Press,"Cherry Hill (Suburban), Camden (Urban), Blackwood (Suburban)","Cherry Hill, Camden, Blackwood",Suburban,https://www.camdencc.edu/student_life/campus-press/,4,1,Camden County Community College,1,2,2,9,,,
"5, 15, 19, 2, 1, 12",Cape May County Herald,"Cape May County /Urban (2), Suburban (10), Rural (4)",Cape May County,Suburban,http://www.capemaycountyherald.com/,1,1,Herald Newspapers,1,2,2,9,,,
"5, 15, 19, 2, 1, 12",Cape May Star and Wave,"Cape May (Urban), West Cape May (Suburban), Cape May Point ( Suburban) ,and Lower Township (Suburban)","Cape May, West Cape May, Cape May Point, Lower Township",Suburban,http://www.starandwave.com,2,1,Independently owned,1,2,2,9,,,
"2, 15, 16","Catholic Advocate, The",Newark,Newark,Urban,https://www.rcan.org/the-catholic-advocate,4,4,Archdiocese of Newark,1,2,2,9,,,
"2, 16","Catholic Spirit, The",9,9,9,http://www.catholicspirit.com/,3,1,Diocese of Metchuen,1,2,2,9,,,
"15, 2, 1, 16",Catholic Star Herald,9,9,9,http://www.catholicstarherald.org,3,1,Diocese of Camden,1,2,2,9,,,
"5, 15, 19, 1, 2","Central Record, The",Medford,Medford,Rural,http://www.medfordcentralrecord.com,2,1,MediaNews Group,1,2,2,9,,,
"18, 2",Chalkbeat Newark,Newark (Urban),Newark,Urban,https://chalkbeat.org/newark/,6,4,"Independently owned (Elizabeth Green, CEO)",1,2,2,9,,,
"17, 5, 15, 19, 2, 1, 12",Chatham Courier,"Chatham Borough (Suburban), Chatham Township (Suburban)","Chatham Borough, Chatham Township",Suburban,http://www.newjerseyhills.com/chatham_courier/,1,4,New Jersey Hills Media Group,1,2,2,9,,,
2,"Chathams, The","Chatham Borough (Suburban), Chatham Township (Suburban)","Chatham Borough, Chatham Township",Suburban,https://rennamedia.com/publications/the-chathams/,4,1,Renna Media,1,2,2,9,,,
"15, 2, 1","Cherry Hill Sun, The",Cherry Hill,Cherry Hill,Suburban,https://cherryhillsun.com/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
16,Chinese News Weekly,9,9,9,http://www.new-new.com/about.asp,2,1,"Sino Monthly NJ, Inc.",5,1,2,9,,,
"18, 1","Cinnaminson Sun, The",CInnaminson,CInnaminson,Urban,https://cinnaminsonsun.com/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"17, 5, 2, 15, 19, 1, 12","Citizen (of Morris County), The","The Boontons (Urban), Rockaways (Suburban), Denville Township (Suburban), Dover (Urban), Montville Township (Suburban)","The Boontons, Rockaways, Denville Township, Dover, Montville Township",Suburban,http://www.newjerseyhills.com/the_citizen/,6,1,New Jersey Hills Media Group,1,2,2,9,,,
"5, 13",CivicStory,9,9,9,https://www.civicstory.org,6,4,Independently owned,1,2,2,9,,,
2,Clark Monthly,Clark,Clark,Urban,https://rennamedia.com/publications/clark-monthly/,4,1,Renna Media,1,2,2,9,,,
"18, 2",Cliffside Park-Edgewater Daily Voice,"Bogota (Urban), Cliffside Park  (Urban),and Edgewater (Urban)","Bogota, Cliffside Park, Edgewater",Urban,https://dailyvoice.com/new-jersey/cliffsidepark/,1,4,Cantata Media (Jerry DeMarco),1,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
2,Clifton Merchant Magazine,Clifton,Clifton,Urban,9,4,1,Independently owned,1,2,9,9,see http://www.cliftonmagazine.com/index.html for pdfs,,
2,CNBNews,"Gloucester (Urban), South Jersey, Philadelphia ",9,Urban,https://www.gloucestercitynews.net/clearysnotebook/gloucester_city_news/,1,4,Independently owned,1,2,2,9,formerly Cleary'sNotebook.com,,
"2, 5, 15, 19, 1, 12","Coast Star, The","Monmouth County/ Urban (3), Suburban (39), Rural (6)",Monmouth County,Suburban,https://starnewsgroup.com/the-coast-star-e-edition/,2,1,Star News Group,1,2,2,9,,,
"2, 5, 15, 1","Coaster, The","Asbury Park (Urban) , Ocean Township (Suburban), and Neptune(Suburban), Neptune City (Suburban), Allenhurst (Suburban), Bradley Beach (Suburban), Deal(Suburban), Avon (Suburban) , Ocean Grove (Suburban), Tinton Falls (Suburban)","Asbury Park, Ocean Township, and Neptune Township, Neptune City, Allenhurst , Bradley Beach, Deal, Avon , Ocean Grove, Tinton Falls",Suburban,http://thecoaster.net/wordpress/,2,1,Independently owned,1,2,2,9,,,
5,"College Voice, The",West Windsor,Wesr Windsor,Suburban,http://www.mcccvoice.org/,2,1,Mercer County Community College,1,2,2,9,,,
2,Community Magazine -  Rumson/Fair Haven/Little Silver/Red Bank/Sea Bright/Locust,Rumson (Suurban)| Fair Haven (Suburban)| Little Silver (Suburban) | Red Bank (Urban) | Sea Bright (Suburban) | Locust (Suburban),"Rumson, Fair Haven, Little Silver, Red Bank, Sea Bright, Locust",Suburban,9,4,5,Independently owned,1,2,2,9,,,
2,Community Magazine - Colts Neck/Holmdel/Lincroft,"Colts Neck (Suburban), Holmdel (Suburban), Lincroft (Suburban)","Colts Neck, Holmdel, Lincroft",Suburban,9,4,5,Independently owned,1,2,2,9,,,
"5, 15, 19, 2",Community News,"Dunellen (Urban), Greenbrook (Suburban), Middlesex (Subrban)","Dunellen, Greenbrook, Middlesex",Suburban,9,4,1,About Our Town,1,2,2,9,see https://www.aboutourtown.online/community-news,,
5,countywatchers,"Union County/ Urban (11), Suburban (10)",Union County,Urban,https://countywatchers.wordpress.com/,6,4,Independently owned,1,2,2,9,,,
"5, 15, 19, 1, 12, 2",Courier News,"Somerset County/ Urban (6), Suburban (13) , Rural (2)",Somerset County,Suburban,http://www.mycentraljersey.com/news/courier-news/,2,1,Gannett,1,2,2,9,ghost NP? ,,
"15, 5, 19, 2, 1, 12",Courier Post,"Burlington County (rural), Camden County (suburban) and Gloucester County (suburban)","Burlington County, Camden County, Gloucester County",Suburban,https://www.courierpostonline.com/,1,1,Gannett,1,2,2,9,"though it's a standalone site, it's indistinguishable from mycentraljersey.com, which is the new Gannett umbrella site for all the other defunct locals it acquired from North Jersey Media Group and others",,
"5, 15, 19, 2, 1, 12","Cranbury Press, The","Mornoe (Suburban), Cranbury (Suburban)","Mornoe, Cranbury",Suburban,http://www.centraljersey.com/news/the_cranbury_press/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,appears to share site with Register News and Toms River Villager,,
2,Cranford Monthly,Cranford,Cranford,Suburban,https://rennamedia.com/publications/cranford-monthly/,4,1,Renna Media,1,2,2,9,,,
5,Cranford Radio,Cranford,Cranford,Suburban,https://cranfordradio.wordpress.com,6,3,Independently owned (Bernie Wagonblast),1,2,2,9,,,
"18, 2",Cresskill-Closter Daily Voice,"Cresskill (Suburban), Closter (Suburban), Demarest (Suburban)","Cresskill, Closter, Demarest",Suburban,https://dailyvoice.com/new-jersey/cresskill,1,4,Cantata Media (Jerry DeMarco),1,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
"18, 2,12","Criterion Sentinel, The","Edison (Suburban) , Metuchen (Urban) , Fords (Woodbridge Township) (Urban)       ","Edison, Metuchen, Woodbridge Township",Urban,https://centraljersey.com/em-sentinel/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"2, 5, 15, 19, 1","Current of Egg Harbor Township, The",Egg Harbor Township,Egg Harbor Township,Rural,https://www.pressofatlanticcity.com/currents_gazettes/egg_harbor_township/,2,1,Lee Enterprises,1,2,2,9,,,
"2, 5, 15, 19","Current of Galloway, Egg Harbor City & Port Republic, The","Galloway (Rural), Egg Harbor City(Rural) & Port Republic(Rural)","Galloway, Egg Harbor City, Port Republic",Rural,https://www.pressofatlanticcity.com/currents_gazettes/galloway_township/,2,1,Lee Enterprises,1,2,2,9,,,
"2, 19","Current of Linwood, Nortthfield, & Somers Point, The","Northfield (Suburban), Linwood (Suburban) & Somers Point (Suburban)","Northfield, Linwood, Somers Point",Suburban,https://www.pressofatlanticcity.com/currents_gazettes/mainland/,2,1,Lee Enterprises,1,2,2,9,,,
"2, 5, 15, 19","Current of Mays Landing & Township of Hamilton, The",Mays Landing (Rural) & Township of Hamilton (Rural),"Mays Landing, Hamilton Township",Rural,https://www.pressofatlanticcity.com/currents_gazettes/hamilton_township/,2,1,Lee Enterprises,1,2,2,9,,,
"5, 15, 19, 2","Current of Pleasantville & Absecon, The",Pleasantville (Suburban) & Absecon( Suburban),"Pleasantville, Absecon",Suburban,https://www.pressofatlanticcity.com/currents_gazettes/pleasantville_absecon/,2,1,Lee Enterprises,1,2,2,9,,,
2,"Current of Ventnor, Margate & Longport, The","Ventnor (Urban), Margate (Urban) & Longport (Urban)","Ventnor, Margate, Longport",Urban,https://www.pressofatlanticcity.com/currents_gazettes/downbeach/,2,1,Lee Enterprises,1,2,2,9,,,
"2, 5, 15, 19","Currents & Gazettes of Atlantic & Cape May Counties, The",9,9,9,https://www.pressofatlanticcity.com/currents_gazettes/site/,2,1,Lee Enterprises,1,2,2,9,,,
"5, 15, 19, 2, 1, 12",Daily Journal,Cumberland County (rural),Cumberland County,Rural,http://www.thedailyjournal.com/,1,1,Gannett,1,2,2,9,now owned by Gannett,,
"1, 15, 11, 14, 12, 11",Daily News,unknown,9,9,9,1,1,Philadelphia Media Network,1,2,1,9,now owned by Phil Inquirer (but see philly.com),,
"5, 15, 2","Daily Princetonian, The",Princeton,Princeton,Suburban,http://www.dailyprincetonian.com,1,1,Princeton University ,1,2,2,9,,,
"5, 15, 19, 2, 1, 12",Daily Record,"Morris County/ Urban (4), Suburban (32), Rural (3)",Morris County,Suburban,http://www.dailyrecord.com/,1,1,Gannett,1,2,2,9,now owned by Gannett,,
"5, 15, 2, 12, 1","Daily Targum, The",New Brunswick,New Brunswick,Urban,http://www.dailytargum.com,1,1,Independent student newspaper,1,2,2,9,,,
18,Delaware Currents,"New York City, Trenton (urban), Philadelphia, Camden (urban), Wilmington, Catskills, Lehigh, Schuykill, Pinelands",9,9,https://www.delawarecurrents.org/,6,5,Independently owned (Meg McGuire),1,2,2,1,,,
"16, 2",Desi Talk New York,9,9,9,9,2,1,"Parikh Worldwide Media, LLC ",1,1,2,9,see http://epaper.desitalk.com/2019_08_23/,,
"1, 2",dirt,"Hamburg (rural), Lafayette Township (rural), Newton (rural), Sparta Township (suburban), Sussex (rural), Vernon Township (rural), Wantage Township (rural), West Milford Township (suburban)","Hamburg, Lafayette Township, Newton, Sparta Township, Sussex, Vernon Township, Wantage Township, West Milford Township",Rural,http://www.dirt-mag.com/,5,5,Straus News,1,2,2,1,,,
16,Divya Bhaskar,9,9,9,https://www.divyabhaskar.co.in,2,1,Independently owned (Dainik Bhaskar Group),4,1,2,9,,,
9,Downbeach Buzz,"Margate (Urban), Ventor (Urban) , Longport (Suburban)","Margate, Ventor, Longport",Urban,https://downbeachbuzz.com/,2,4,Downbeach Digital News Network,1,2,2,9,also owns ACprimetime.com and BrigatineNOW,,
"5, 1, 2","Drew Acorn, The",Madison,Madison,Suburban,https://www.thedrewacorn.com/,2,1,Drew University,1,2,2,9,,,
5,Dunellen411,Dunellen,Dunellen,Urban,http://www.dunellen411.com/,4,4,Independently owned,1,2,2,9,,,
"5, 15, 2, 1, 12",East Brunswick Sentinel,"East Brunswick (Suburban), Helmetta (Suburban), Jamesburg (Rural), Monroe (Suburban), Milltown (Suburban), Spotswood (Suburban), South River (Suburban)       ","East Brunswick, Helmetta, Jamesburg, Monroe, Milltown, Spotswood, South River",Suburban,https://centraljersey.com/eb-sentinel/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
2,East Hanover/ Florham Park News; East Hanover/ Florham Park Life,"East Hanover (Suburban) , Florham Park (Suburban)","East Hanover, Florham Park",Suburban,https://www.mypaperonline.com/category/east-hanoverflorham-park-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
"2, 1",ECC Observer,Newark,Newark,Urban,https://eccobserverdotcom.wordpress.com/,5,5,Essex County Community College,1,1,2,9,,,
"17, 5, 19, 2, 1",Echoes-Sentinel,"Long Hill Township (Suburban) , Warren Township (Suburban), Watchung (Suburban)","Long Hill Township, Warren Township, Watchung",Suburban,http://www.newjerseyhills.com/echoes-sentinel/,2,1,New Jersey Hills Media Group,1,2,2,9,,,
"5, 15, 19, 1, 2",Edgewater View,Edgewater,Edgewater,Urban,9,2,1,Gannett,1,2,2,9,http://www.northjersey.com/edgewater,,
"5, 19, 2",Egg Harbor News,Egg Harbor City (Rural) and Mullica Township (Rural),"Egg Harbor City, Mullica Township",Rural,9,2,1,Gannett,1,2,2,9,http://www.njpa.org/njpa/member_newspapers/gannett_weekly_newspapers.html#Egg_Harbor?Galloway_Township_News,,
"5, 19, 2, 16, 1",El Especial,9,9,9,http://elespecial.com/news/el-especialito/,2,1,Independently owned,2,1,2,9,,,
"15, 2",El Sol Latino,9,9,9,http://elsoln1.com/,1,1,Hispanic Media Company,2,1,2,1,Says it serves East Coast Latinos,,
