gpe,latitude,longitude
London,40.0583238,-74.4056612
America,40.0583238,-74.4056612
Newark,40.735657,-74.1723667
Cranford,40.6573662,-74.3049856
Salt Lake City,40.0583238,-74.4056612
Ewing,40.2599864,-74.79091249999999
Bordentown,40.1462213,-74.71182639999999
Jackson,40.0918895,-74.35874729999999
Keswick,39.9497121,-74.3428936
Whiting,39.9543627,-74.378734
Panicaro Park,40.3985452,-74.6314426
"Belle Mead June 1,",40.4675835,-74.6628114
New Gloucester,39.8026495,-75.0536407
Maine,40.0583238,-74.4056612
Farmington,40.5123258,-74.85933179999999
Vikki,40.0583238,-74.4056612
United States,40.0583238,-74.4056612
New Hope,40.0583238,-74.4056612
County Planning,40.0583238,-74.4056612
Jersey,40.7177545,-74.0431435
California,40.0583238,-74.4056612
British Columbia,40.0583238,-74.4056612
US,40.0583238,-74.4056612
Texas,40.3606638,-74.3693157
Raymond,40.0583238,-74.4056612
Pennsylvania,40.0583238,-74.4056612
Florida,40.0583238,-74.4056612
Sourland,40.4667713,-74.7259943
Central New Jersey,40.5409461,-74.30875499999999
Mercer County,40.3028533,-74.7337069
Meghan,40.0583238,-74.4056612
Long Beach,39.6155009,-74.199545
Cindy,40.0583238,-74.4056612
Delia,40.0583238,-74.4056612
Greenville,40.6984428,-74.0918966
Germany,40.0583238,-74.4056612
OH,40.0583238,-74.4056612
Sioux City,40.0583238,-74.4056612
Lista,40.0583238,-74.4056612
Plainsboro,40.3570497,-74.615308
Chicago,40.0583238,-74.4056612
Mercer County Park,40.3028533,-74.7337069
Lambertville,40.36593939999999,-74.94294479999999
Somerset,40.5292099,-74.64004320000001
MD,40.0583238,-74.4056612
Charlotte,40.0583238,-74.4056612
Liam,40.0583238,-74.4056612
Wayne,40.92537249999999,-74.2765441
New Brunswick,40.4862157,-74.4518188
Montgomery Township Fire,40.4329141,-74.66346399999999
Kosovo,40.0583238,-74.4056612
Iraq,40.0583238,-74.4056612
Afghanistan,40.0583238,-74.4056612
Kuwait,40.0583238,-74.4056612
Bosnia,40.0583238,-74.4056612
South Korea,40.0583238,-74.4056612
Lent,40.0583238,-74.4056612
Springfield,40.7016937,-74.3222146
Phoenix,40.4778837,-74.31292499999999
Needham,40.0583238,-74.4056612
the Somerset County,40.5292099,-74.64004320000001
Beverly,40.06538889999999,-74.9190558
Locust,40.3947833,-74.02597279999999
Harpers,40.0583238,-74.4056612
Caroline,40.0583238,-74.4056612
Massachusetts,40.0583238,-74.4056612
Highland,40.40372,-73.991527
St. Louis,40.0583238,-74.4056612
Pottstown,40.5828697,-74.95849539999999
Prin,40.3572976,-74.6672226
Blacksburg,40.0583238,-74.4056612
VA,40.0583238,-74.4056612
Karuizawa,40.0583238,-74.4056612
Japan,40.0583238,-74.4056612
Elat,40.0583238,-74.4056612
Ebolowa,40.0583238,-74.4056612
West Africa,40.0583238,-74.4056612
IV,40.0583238,-74.4056612
Princetonian,40.3572976,-74.6672226
Fran,41.12204089999999,-74.5804378
Abruz,40.0583238,-74.4056612
San Gabriel,40.0583238,-74.4056612
Franklin Township,40.4933734,-74.5228916
Long Island,40.0583238,-74.4056612
Minnesota,40.0583238,-74.4056612
Quarryville,41.2564839,-74.5796053
the Franklin Township/South Brunswick,40.3806901,-74.5316938
U.S.,40.0583238,-74.4056612
Kingston,40.3753844,-74.6134903
Lawrenceville,40.3016375,-74.7361013
Python,40.0583238,-74.4056612
Pennington,40.3284402,-74.790718
Hamilton,40.2115109,-74.6796651
Ohio,40.0583238,-74.4056612
Hamilton Township,39.4941863,-74.7347674
Connecticut,40.0583238,-74.4056612
Vail,40.0583238,-74.4056612
Colorado,40.0583238,-74.4056612
Park City,40.0583238,-74.4056612
Utah,40.0583238,-74.4056612
San Francisco,40.0583238,-74.4056612
India,40.0583238,-74.4056612
B.E.S.T.,40.0583238,-74.4056612
Stockton,40.407883,-74.9782238
New Hampshire,40.0583238,-74.4056612
Montana,40.7692146,-75.0656288
Woods Hole,40.0583238,-74.4056612
Bound Brook,40.56843629999999,-74.53848889999999
Iceland,40.5753817,-74.3223703
Falmouth,40.0583238,-74.4056612
Saint Petersburg,39.2537259,-74.7265512
Skillman Park,40.4162042,-74.6822564
New Jersey’s,40.0583238,-74.4056612
Hunterdon County,40.56695149999999,-74.92087719999999
Somerset County Sherif,40.5679046,-74.6093873
the Somerset County Freeholders,40.2136754,-74.3000878
the Crosswicks Creek,40.13367053413298,-74.62829921019315
Crosswicks Creek,40.13367053413298,-74.62829921019315
Hammond,39.6365056,-74.8023853
LA,40.0583238,-74.4056612
Vietnam,40.0583238,-74.4056612
Quang Tri Province,40.0583238,-74.4056612
Edison,40.5187154,-74.4120953
Us,40.0583238,-74.4056612
Dunellen,40.5892696,-74.4718201
Middlesex,40.572603,-74.4926541
Beverly Mills,40.06538889999999,-74.9190558
Whites,40.0583238,-74.4056612
Camden,39.9259463,-75.1196199
Gambia,40.0583238,-74.4056612
Stoutsburg,40.3987168,-74.73543880000001
Mercer,40.3028533,-74.7337069
Ringoes,40.4289892,-74.86750669999999
Switzerland,40.0583238,-74.4056612
Far Hills,40.684268,-74.6357148
Russia,41.040653,-74.53265809999999
Steamboat,40.0583238,-74.4056612
Logan,39.7847179,-75.34918499999999
Lexie,40.0583238,-74.4056612
Greenland,40.0583238,-74.4056612
Surf City,39.6620638,-74.16513770000002
Long Beach Island,39.641727,-74.1885825
"Shelby, NC",40.0583238,-74.4056612
Sr,40.0583238,-74.4056612
Tina,40.4984896,-74.408821
Grand Luminary,40.0583238,-74.4056612
Brick,40.0578384,-74.1371832
Virginia,40.0583238,-74.4056612
Biz,40.0583238,-74.4056612
UK,40.0583238,-74.4056612
Broccoli,40.0583238,-74.4056612
Lawrence,40.2778055,-74.7294313
Salem,39.5717796,-75.46714229999999
France,40.0583238,-74.4056612
OLD YORK CELLARS,40.4508945,-74.8399534
Old York Cellars,40.4508945,-74.8399534
Old York’s,40.1639108,-74.6268953
Old York,40.1639108,-74.6268953
Bordeaux,40.0583238,-74.4056612
Huaxia,40.0583238,-74.4056612
East Brunswick,40.4316955,-74.4049778
Hometown Heroes,40.5770874,-74.4141369
Kurdistan,40.0583238,-74.4056612
Ark.,40.0583238,-74.4056612
Softball,40.0583238,-74.4056612
Bahamas,40.0583238,-74.4056612
South Africa,40.0583238,-74.4056612
Brenda,40.0583238,-74.4056612
Goshen,39.1368182,-74.85436820000001
Mastrolia,40.7263864,-74.04890350000001
Titusville,40.309579,-74.8770282
Adamstown,40.0583238,-74.4056612
Quebec,40.0583238,-74.4056612
Sister,40.0583238,-74.4056612
Manchester,39.9711696,-74.33928209999999
Kaela,40.0583238,-74.4056612
Keith,40.0583238,-74.4056612
Sara,40.0583238,-74.4056612
New Jersey 08558,40.4109485,-74.72200169999999
New Zealand,40.0583238,-74.4056612
Nashville,40.0583238,-74.4056612
Tenn,40.0583238,-74.4056612
Kentucky,40.0583238,-74.4056612
Easton,40.0583238,-74.4056612
Jr.,40.0583238,-74.4056612
Arizona,40.0583238,-74.4056612
Maryland,40.1528907,-74.3776489
Baltimore,40.0583238,-74.4056612
Detroit,40.0583238,-74.4056612
Michigan,40.0583238,-74.4056612
West Milford,41.1311292,-74.3673254
Louis,40.0583238,-74.4056612
Goswami,40.0583238,-74.4056612
Adapt,40.0583238,-74.4056612
Miami,39.0345573,-74.93684
Watershed,40.352431,-74.7732894
the Princeton Ridge,40.3572976,-74.6672226
Franklin,41.12204089999999,-74.5804378
Angers,40.0583238,-74.4056612
Bangladesh,40.0583238,-74.4056612
Berks County,40.0583238,-74.4056612
Videos,40.0583238,-74.4056612
Armageddon,40.0583238,-74.4056612
Indiana,40.0583238,-74.4056612
Bremner,40.0583238,-74.4056612
LinkedIn,40.0583238,-74.4056612
Battaglia,40.0583238,-74.4056612
Aldon,40.0583238,-74.4056612
Rhode Island,40.0583238,-74.4056612
Okmulgee,40.0583238,-74.4056612
Oklahoma,40.0583238,-74.4056612
Cheyenne,40.0583238,-74.4056612
Wyoming,40.7292679,-74.2912592
Korea,40.0583238,-74.4056612
Chesapeake,40.0583238,-74.4056612
Flemington,40.5123258,-74.85933179999999
Kenya,40.0583238,-74.4056612
Episcopalian,40.0583238,-74.4056612
Daytop Village,40.0583238,-74.4056612
Milford,40.5687128,-75.09461689999999
Mass,40.0583238,-74.4056612
Foster City,40.0583238,-74.4056612
Bowie,40.0583238,-74.4056612
Bradenton,40.1462213,-74.71182639999999
Trisha,40.0583238,-74.4056612
Trap Rock Quarry,40.0583238,-74.4056612
East Brunswick’s,40.4316955,-74.4049778
Andover,41.0155479,-74.7295522
North Andover,41.0155479,-74.7295522
Massachussetts,40.0583238,-74.4056612
Guatemala,40.0583238,-74.4056612
Ixil,40.0583238,-74.4056612
Kaqchikel,40.0583238,-74.4056612
Bedens Brook,40.40199253155035,-74.70442541744335
Sao Paulo,40.0583238,-74.4056612
Brazil,40.0583238,-74.4056612
Netflix,40.0583238,-74.4056612
Sheeran,40.0583238,-74.4056612
South Philly,40.0583238,-74.4056612
Best Buy,40.0583238,-74.4056612
Los Angeles,40.0583238,-74.4056612
Kendall Park,40.4209391,-74.560711
Vadnais Heights,40.0583238,-74.4056612
Research Park,40.0583238,-74.4056612
Farmer,40.0583238,-74.4056612
Sussex County,41.1288481,-74.6868815
New York State,40.0583238,-74.4056612
Pinehurst,39.477727,-74.548897
North Carolina,40.0583238,-74.4056612
Clinton,40.6367682,-74.90988999999999
Cambridge,40.0290006,-74.9726691
Weston,40.5351035,-74.5907125
Scotland,40.0583238,-74.4056612
"Skillmans, Gulicks, Voorhees",40.4201165,-74.7146817
New Amsterdam,40.0583238,-74.4056612
Holland,40.5945209,-75.11680129999999
West Windsor,40.2983262,-74.618634
South Mountain,40.7534061,-74.2896523
Selinsgrove,40.0583238,-74.4056612
Arlington,40.7774222,-74.13801099999999
Keenan,40.0583238,-74.4056612
Kamran,40.0583238,-74.4056612
Osaka,40.0583238,-74.4056612
Orlando,40.0583238,-74.4056612
Amanda,40.0583238,-74.4056612
Asbury Park,40.2203907,-74.0120817
New Jersey-Office of Inspector General,40.0583238,-74.4056612
Charge,40.0583238,-74.4056612
Bethesda,40.0583238,-74.4056612
Missouri,40.0583238,-74.4056612
Stephen,40.0583238,-74.4056612
Rabbi Jake,40.0583238,-74.4056612
olam,40.0583238,-74.4056612
EQ,40.0583238,-74.4056612
Skillman,40.4201165,-74.7146817
Grand Rapids,40.0583238,-74.4056612
Patton,40.0583238,-74.4056612
Dallas,40.0583238,-74.4056612
Borough,40.7842667,-74.6968284
Georgetown,40.079597,-74.654381
Urdu,40.0583238,-74.4056612
Hindi,40.0583238,-74.4056612
Morgantown,40.3280786,-74.2873035
New Haven,40.3606653,-74.03819469999999
England,40.0583238,-74.4056612
Bundle,40.0583238,-74.4056612
Labrador,40.0583238,-74.4056612
SF,40.0583238,-74.4056612
Sindh,40.0583238,-74.4056612
Pakistan,40.0583238,-74.4056612
Ashtabula,40.0583238,-74.4056612
Delaware,40.89294590000001,-75.06613469999999
Wisconsin,40.0583238,-74.4056612
Palm Beach,40.0583238,-74.4056612
Cyanamid,40.0583238,-74.4056612
Bridgewater,40.5939636,-74.6049061
Mercerville,40.2364643,-74.6880454
Saigon,40.0583238,-74.4056612
Xuong,40.0583238,-74.4056612
Rotunda,40.0583238,-74.4056612
Sarasota,40.0583238,-74.4056612
Taryn,40.0583238,-74.4056612
Tokyo,40.0583238,-74.4056612
The Republic of Malawi,40.0583238,-74.4056612
The Republic of Ghana,40.0583238,-74.4056612
Charissa,40.0583238,-74.4056612
Virginia Beach,40.0583238,-74.4056612
Abruzzi,40.0583238,-74.4056612
Short Hills,40.7483499,-74.3232194
Griggstown Village,40.4442447,-74.6321541
DC,40.0583238,-74.4056612
Hudson,40.7453199,-74.05351259999999
Beverly Hills,40.0583238,-74.4056612
Washington D.C.,40.7584326,-74.9793378
Clint,40.6367682,-74.90988999999999
Jersey City,40.7177545,-74.0431435
Trent,40.2205824,-74.759717
Lompoc,40.0583238,-74.4056612
Queer,40.0583238,-74.4056612
Glen Rock,40.9628758,-74.1329207
King of Prussia,40.0583238,-74.4056612
West Germany,40.0583238,-74.4056612
Cabot,40.0583238,-74.4056612
Lauren,39.934002,-74.89099879999999
Quakers,40.0583238,-74.4056612
Watchung,40.63788,-74.4509863
Montclair,40.8259007,-74.2090053
RaMBaM,40.0583238,-74.4056612
Daniel,40.0583238,-74.4056612
Pittsburgh,40.0583238,-74.4056612
Gartenberg,40.0583238,-74.4056612
Krapf,40.0583238,-74.4056612
Umberto,40.0583238,-74.4056612
Union City,40.7795455,-74.02375119999999
Cliffside Park,40.8214894,-73.9876388
Gabriela,40.0583238,-74.4056612
Nadia,40.0583238,-74.4056612
Henry,40.0583238,-74.4056612
Carmela,40.0583238,-74.4056612
Hillsboro,40.5081222,-74.6374329
Hershey,40.0583238,-74.4056612
Hillsborough,40.5081222,-74.6374329
South Brunswick,40.3806901,-74.5316938
Julia,40.0583238,-74.4056612
Nara,40.0583238,-74.4056612
forsythia,40.0583238,-74.4056612
Cape May County,39.105884,-74.8273184
Beach,40.3303883,-73.98152619999999
Cape May,38.9351125,-74.90600529999999
Highlands,40.40372,-73.991527
Angelica,40.0583238,-74.4056612
Ansley,40.0583238,-74.4056612
Victoria,40.0583238,-74.4056612
Gibraltar Rock,40.0583238,-74.4056612
Townsend,40.0583238,-74.4056612
Plainfield,40.6337136,-74.4073736
Sage Hill,40.0583238,-74.4056612
the Mount Zion AME Church,40.0583238,-74.4056612
Gospel Brunch,40.0583238,-74.4056612
HO,40.99648639999999,-74.101253
Warrenton,40.9314855,-75.0840649
Phoebe,40.0583238,-74.4056612
Sumac,40.0583238,-74.4056612
Bergen County,40.9262762,-74.07701
Joanice,40.0583238,-74.4056612
Yollandi,40.0583238,-74.4056612
Olama,40.0583238,-74.4056612
Illinois,40.0583238,-74.4056612
Yorkie,40.0583238,-74.4056612
Columbia,40.9256446,-75.0931123
West Hartford,40.0583238,-74.4056612
Birmingham,39.9764325,-74.7101744
East Carolina,40.0583238,-74.4056612
New Jerseyians,40.0583238,-74.4056612
Gettysburg,40.0583238,-74.4056612
Princeton Cemetery,40.3543286,-74.6601706
Waltham,40.0583238,-74.4056612
Wellesley,40.0583238,-74.4056612
Katherine,40.0583238,-74.4056612
Justin,40.0583238,-74.4056612
Morgan,40.4667731,-74.2682013
Christ,40.0583238,-74.4056612
Night,40.0583238,-74.4056612
Bethlehem,40.6700352,-75.0034782
Scranton,40.0583238,-74.4056612
Green Brook Township,40.6049167,-74.4851659
Monroe Township,40.336419,-74.43304739999999
Orchard Hill,40.0583238,-74.4056612
New Jersey's,40.0583238,-74.4056612
J.D.,40.0583238,-74.4056612
D.C.,40.0583238,-74.4056612
Effort,40.0583238,-74.4056612
Kunkletown,40.0583238,-74.4056612
Walnutport,40.0583238,-74.4056612
Christina,40.0583238,-74.4056612
Abigayl,40.0583238,-74.4056612
Tarik,40.0583238,-74.4056612
Jaydynn,40.0583238,-74.4056612
Hunterdon,40.56695149999999,-74.92087719999999
Somerset County Tournament,40.5292099,-74.64004320000001
Augusta,41.1446516,-74.7061308
Lukas,40.0583238,-74.4056612
Kieran,40.0583238,-74.4056612
Alexandria,40.5908427,-75.0260667
Bunn Drive,40.3763376,-74.6523221
Tennessee,40.0583238,-74.4056612
New ...,40.0583238,-74.4056612
Saniya,40.0583238,-74.4056612
Zoya,40.0583238,-74.4056612
Zuhayr,40.0583238,-74.4056612
Delaware Township,40.4307258,-74.9442585
Readington,40.5687141,-74.73766189999999
Branchburg,40.58681139999999,-74.69858909999999
Yankee,40.0583238,-74.4056612
Pottsville,40.7177283,-74.7245623
Pa.,40.0583238,-74.4056612
Asheville,40.0583238,-74.4056612
Zelda,40.0583238,-74.4056612
Melanoma,40.0583238,-74.4056612
Librascope,40.0583238,-74.4056612
Glendale,39.85361,-74.98277999999999
Highland Cemetery,40.0583238,-74.4056612
St. Jude’s,40.0583238,-74.4056612
Marblehead,40.0583238,-74.4056612
Ozark,40.0583238,-74.4056612
Sybil,40.0583238,-74.4056612
Somerset County Surrogate,40.5679696,-74.6096021
Somerset county,40.5292099,-74.64004320000001
Hillsborough Township,40.5081222,-74.6374329
Warren,40.6341746,-74.505529
Chatham,40.7265893,-74.4172591
Frenchtown,40.5262138,-75.06156
Maziarz,40.0583238,-74.4056612
Ventura,40.0583238,-74.4056612
East Windsor,40.2677539,-74.5402506
Long Hill,40.68288920000001,-74.49359129999999
Long Hill Township,40.68288920000001,-74.49359129999999
the City of Asbury Park,40.2203907,-74.0120817
Montgomery Township's,40.4329141,-74.66346399999999
MJML,40.0583238,-74.4056612
Montgomery Township’s,40.4329141,-74.66346399999999
Montgomery Hills,40.0583238,-74.4056612
Kayak,40.0583238,-74.4056612
Biz Updated:,40.0583238,-74.4056612
Findlay,40.0583238,-74.4056612
Munich,40.0583238,-74.4056612
Langhorne,40.0583238,-74.4056612
Gresham,40.0583238,-74.4056612
Oregon,40.0583238,-74.4056612
Greensboro,39.70289229999999,-75.1118422
Penelope,40.0583238,-74.4056612
County,40.0583238,-74.4056612
Teachers,40.0583238,-74.4056612
Muncy,40.0583238,-74.4056612
South Carolina,40.0583238,-74.4056612
Washington Crossing,40.2967741,-74.8668311
Shipping,40.0583238,-74.4056612
Poconos,40.0583238,-74.4056612
South Amboy,40.4778838,-74.290702
